,title
0,The Shawshank Redemption19942h 22mR9.3
1,The Godfather19722h 55mR9.2
2,The Dark Knight20082h 32mPG-139.0
3,The Godfather Part II19743h 22mR9.0
4,12 Angry Men19571h 36mApproved9.0
5,Schindler's List19933h 15mR9.0
6,The Lord of the Rings: The Return of the King20033h 21mPG-139.0
7,Pulp Fiction19942h 34mR8.9
8,The Lord of the Rings: The Fellowship of the Ring20012h 58mPG-138.8
9,"Il buono, il brutto, il cattivo19662h 41mApproved8.8"
10,Forrest Gump19942h 22mPG-138.8
11,Fight Club19992h 19mR8.8
12,The Lord of the Rings: The Two Towers20022h 59mPG-138.8
13,Inception20102h 28mPG-138.8
14,Star Wars: Episode V - The Empire Strikes Back19802h 4mPG8.7
15,The Matrix19992h 16mR8.7
16,Goodfellas19902h 25mR8.7
17,One Flew Over the Cuckoo's Nest19752h 13mR8.7
18,Spider-Man: Across the Spider-Verse20232h 20mPG8.7
19,Se7en19952h 7mR8.6
20,It's a Wonderful Life19462h 10mPG8.6
21,Shichinin no samurai19543h 27mNot Rated8.6
22,The Silence of the Lambs19911h 58mR8.6
23,Interstellar20142h 49mPG-138.7
24,Saving Private Ryan19982h 49mR8.6
25,Cidade de Deus20022h 10mR8.6
26,La vita è bella19971h 56mPG-138.6
27,The Green Mile19993h 9mR8.6
28,Star Wars19772h 1mPG8.6
29,Terminator 2: Judgment Day19912h 17mR8.6
30,Back to the Future19851h 56mPG8.5
31,Sen to Chihiro no kamikakushi20012h 5mPG8.6
32,The Pianist20022h 30mR8.5
33,Psycho19601h 49mR8.5
34,Gisaengchung20192h 12mR8.5
35,Gladiator20002h 35mR8.5
36,The Lion King19941h 28mG8.5
37,Léon19941h 50mR8.5
38,American History X19981h 59mR8.5
39,The Departed20062h 31mR8.5
40,Whiplash20141h 46mR8.5
41,The Prestige20062h 10mPG-138.5
42,Oppenheimer20233hR8.6
43,The Usual Suspects19951h 46mR8.5
44,Hotaru no haka19881h 29mNot Rated8.5
45,Seppuku19622h 13mNot Rated8.6
46,Casablanca19421h 42mPG8.5
47,Intouchables20111h 52mR8.5
48,Modern Times19361h 27mG8.5
49,Nuovo Cinema Paradiso19882h 35mPG8.5
50,C'era una volta il West19682h 45mPG-138.5
51,Rear Window19541h 52mPG8.5
52,Alien19791h 57mR8.5
53,City Lights19311h 27mG8.5
54,Apocalypse Now19792h 27mR8.4
55,Memento20001h 53mR8.4
56,Django Unchained20122h 45mR8.5
57,Raiders of the Lost Ark19811h 55mPG8.4
58,WALL·E20081h 38mG8.4
59,Das Leben der Anderen20062h 17mR8.4
60,Sunset Blvd.19501h 50mPassed8.4
61,Paths of Glory19571h 28mApproved8.4
62,Avengers: Infinity War20182h 29mPG-138.4
63,The Shining19802h 26mR8.4
64,The Great Dictator19402h 5mG8.4
65,Witness for the Prosecution19571h 56mApproved8.4
66,Spider-Man: Into the Spider-Verse20181h 57mPG8.4
67,Aliens19862h 17mR8.4
68,The Dark Knight Rises20122h 44mPG-138.4
69,Inglourious Basterds20092h 33mR8.3
70,American Beauty19992h 2mR8.3
71,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb19641h 35mPG8.4
72,Oldeuboi20032hR8.4
73,Coco20171h 45mPG8.4
74,Amadeus19842h 40mPG8.4
75,Toy Story19951h 21mG8.3
76,Das Boot19812h 29m8.4
77,Braveheart19952h 58mR8.3
78,Avengers: Endgame20193h 1mPG-138.4
79,Joker20192h 2mR8.4
80,Mononoke-hime19972h 14mPG-138.3
81,Good Will Hunting19972h 6mR8.3
82,Once Upon a Time in America19843h 49mR8.3
83,Kimi no na wa.20161h 46mTV-PG8.4
84,3 Idiots20092h 50mPG-138.4
85,Tengoku to jigoku19632h 23mNot Rated8.4
86,Singin' in the Rain19521h 43mG8.3
87,Requiem for a Dream20001h 42mUnrated8.3
88,Capharnaüm20182h 6mR8.4
89,Toy Story 320101h 43mG8.3
90,Idi i smotri19852h 22mNot Rated8.4
91,Star Wars: Episode VI - Return of the Jedi19832h 11mPG8.3
92,Eternal Sunshine of the Spotless Mind20041h 48mR8.3
